Date,Product,Region,Quantity,Unit_Price,Total_Sales,Month,Day_of_Week
2023-10-16,Monitor,North,5,1048.92,5244.6,October,Monday
2023-10-04,Keyboard,West,4,1116.55,4466.2,October,Wednesday
2023-10-31,Phone,West,5,374.34,1871.6999999999998,October,Tuesday
2023-05-15,Keyboard,West,3,1589.58,4768.74,May,Monday
2023-07-14,Tablet,West,1,896.84,896.84,July,Friday
2023-05-08,Laptop,North,5,1050.15,5250.75,May,Monday
2023-02-02,Tablet,North,9,1591.69,14325.210000000001,February,Thursday
2023-06-25,Phone,South,9,1237.81,11140.289999999999,June,Sunday
2023-01-22,Monitor,North,4,482.09,1928.36,January,Sunday
2023-08-26,Keyboard,West,3,1221.44,3664.32,August,Saturday
2023-06-07,Laptop,South,1,874.5,874.5,June,Wednesday
2023-02-07,Keyboard,South,2,992.1,1984.2,February,Tuesday
2023-08-18,Phone,South,8,153.79,1230.32,August,Friday
2023-12-31,Keyboard,West,1,499.06,499.06,December,Sunday
2023-02-20,Laptop,East,8,633.97,5071.76,February,Monday
2023-09-21,Phone,West,7,1454.62,10182.34,September,Thursday
2023-10-10,Keyboard,North,8,121.84,974.72,October,Tuesday
2023-01-27,Monitor,Online,6,876.68,5260.08,January,Friday
2023-08-14,Phone,West,9,1855.65,16700.850000000002,August,Monday
2023-10-04,Phone,West,3,312.57,937.71,October,Wednesday
2023-10-13,Monitor,South,4,1081.21,4324.84,October,Friday
2023-04-07,Tablet,West,6,1594.39,9566.34,April,Friday
2023-10-11,Laptop,South,8,1890.81,15126.48,October,Wednesday
2023-11-13,Tablet,North,5,1518.88,7594.400000000001,November,Monday
2023-10-31,Keyboard,South,3,1469.07,4407.21,October,Tuesday
2023-05-27,Monitor,West,6,1670.33,10021.98,May,Saturday
2023-01-04,Tablet,North,4,947.78,3791.12,January,Wednesday
2023-02-04,Phone,Online,9,1631.1,14679.9,February,Saturday
2023-07-11,Keyboard,South,3,115.13,345.39,July,Tuesday
2023-02-18,Keyboard,North,4,1856.67,7426.68,February,Saturday
2023-01-17,Tablet,South,7,942.28,6595.96,January,Tuesday
2023-06-21,Tablet,North,7,1151.42,8059.9400000000005,June,Wednesday
2023-08-08,Monitor,North,4,584.28,2337.12,August,Tuesday
2023-06-07,Laptop,South,6,1510.81,9064.86,June,Wednesday
2023-02-15,Tablet,East,3,245.61,736.83,February,Wednesday
2023-01-06,Tablet,North,6,1758.01,10548.06,January,Friday
2023-04-09,Phone,North,2,1673.42,3346.84,April,Sunday
2023-08-21,Keyboard,Online,8,510.51,4084.08,August,Monday
2023-02-06,Laptop,East,2,1637.72,3275.44,February,Monday
2023-10-07,Phone,East,7,1594.08,11158.56,October,Saturday
2023-12-15,Monitor,West,9,1301.21,11710.89,December,Friday
2023-10-29,Monitor,South,1,809.69,809.69,October,Sunday
2023-06-30,Tablet,East,8,615.85,4926.8,June,Friday
2023-04-05,Tablet,South,7,540.39,3782.73,April,Wednesday
2023-04-09,Monitor,West,6,705.36,4232.16,April,Sunday
2023-07-07,Tablet,South,6,1816.76,10900.56,July,Friday
2023-04-26,Laptop,East,6,247.52,1485.1200000000001,April,Wednesday
2023-07-10,Tablet,South,9,1674.86,15073.74,July,Monday
2023-09-10,Keyboard,East,2,762.89,1525.78,September,Sunday
2023-06-10,Tablet,South,1,1091.04,1091.04,June,Saturday
2023-09-13,Phone,East,6,1609.52,9657.119999999999,September,Wednesday
2023-11-19,Laptop,East,8,1780.32,14242.56,November,Sunday
2023-05-08,Phone,South,3,755.08,2265.2400000000002,May,Monday
2023-01-18,Phone,West,1,977.5,977.5,January,Wednesday
2023-10-08,Keyboard,North,9,887.58,7988.22,October,Sunday
2023-08-11,Laptop,West,1,125.18,125.18,August,Friday
2023-02-23,Laptop,South,3,662.29,1986.87,February,Thursday
2023-02-27,Laptop,West,8,972.46,7779.68,February,Monday
2023-11-19,Laptop,East,3,881.08,2643.2400000000002,November,Sunday
2023-12-26,Laptop,North,4,1471.67,5886.68,December,Tuesday
2023-06-23,Keyboard,South,8,831.13,6649.04,June,Friday
2023-10-07,Tablet,South,1,1029.82,1029.82,October,Saturday
2023-04-24,Phone,South,6,916.26,5497.5599999999995,April,Monday
2023-10-15,Laptop,Online,1,1507.19,1507.19,October,Sunday
2023-12-08,Tablet,East,1,1739.65,1739.65,December,Friday
2023-05-31,Tablet,South,8,1110.59,8884.72,May,Wednesday
2023-05-07,Phone,West,4,1599.92,6399.68,May,Sunday
2023-06-04,Keyboard,South,1,663.89,663.89,June,Sunday
2023-09-30,Monitor,South,7,1128.6,7900.199999999999,September,Saturday
2023-04-14,Monitor,South,5,755.94,3779.7000000000003,April,Friday
2023-10-26,Tablet,South,5,886.98,4434.9,October,Thursday
2023-09-03,Phone,East,1,1491.59,1491.59,September,Sunday
2023-06-25,Monitor,West,6,1775.16,10650.960000000001,June,Sunday
2023-02-08,Tablet,East,9,330.84,2977.56,February,Wednesday
2023-06-19,Keyboard,West,9,1305.81,11752.289999999999,June,Monday
2023-09-04,Monitor,South,8,1206.07,9648.56,September,Monday
2023-01-26,Tablet,North,5,324.99,1624.95,January,Thursday
2023-12-21,Tablet,East,1,502.6,502.6,December,Thursday
2023-11-02,Laptop,North,9,690.9,6218.099999999999,November,Thursday
2023-01-13,Keyboard,East,1,417.17,417.17,January,Friday
2023-11-12,Laptop,South,8,563.09,4504.72,November,Sunday
2023-11-09,Phone,Online,5,608.44,3042.2000000000003,November,Thursday
2023-02-05,Laptop,South,3,737.78,2213.34,February,Sunday
2023-06-22,Laptop,East,7,1523.84,10666.88,June,Thursday
2023-01-20,Monitor,South,7,1186.63,8306.41,January,Friday
2023-11-17,Tablet,South,9,1973.87,17764.829999999998,November,Friday
2023-09-21,Keyboard,West,7,888.0,6216.0,September,Thursday
2023-05-22,Laptop,South,3,1532.34,4597.0199999999995,May,Monday
2023-05-23,Keyboard,West,1,1755.79,1755.79,May,Tuesday
2023-04-02,Laptop,South,8,1390.06,11120.48,April,Sunday
2023-12-20,Phone,North,3,882.54,2647.62,December,Wednesday
2023-11-18,Laptop,South,8,1531.83,12254.64,November,Saturday
2023-10-15,Monitor,North,8,486.97,3895.76,October,Sunday
2023-08-03,Tablet,North,5,722.35,3611.75,August,Thursday
2023-12-08,Phone,South,1,1138.7,1138.7,December,Friday
2023-02-20,Laptop,North,7,1193.28,8352.96,February,Monday
2023-06-02,Keyboard,West,5,142.07,710.3499999999999,June,Friday
2023-07-05,Phone,East,8,1895.72,15165.76,July,Wednesday
2023-03-04,Phone,South,9,1423.59,12812.31,March,Saturday
2023-07-09,Laptop,North,7,1041.84,7292.879999999999,July,Sunday
2023-05-05,Phone,South,7,1872.94,13110.58,May,Friday
2023-05-30,Keyboard,West,1,934.28,934.28,May,Tuesday
2023-11-10,Phone,South,4,1962.83,7851.32,November,Friday
2023-02-27,Keyboard,South,2,1073.34,2146.68,February,Monday
2023-12-08,Laptop,North,2,317.14,634.28,December,Friday
2023-11-01,Tablet,West,2,1553.12,3106.24,November,Wednesday
2023-06-29,Phone,East,4,1389.91,5559.64,June,Thursday
2023-06-19,Tablet,East,1,1568.67,1568.67,June,Monday
2023-11-22,Keyboard,North,4,1907.74,7630.96,November,Wednesday
2023-09-28,Phone,South,2,1575.33,3150.66,September,Thursday
2023-02-23,Monitor,North,5,1261.54,6307.7,February,Thursday
2023-04-11,Tablet,North,3,1728.89,5186.67,April,Tuesday
2023-09-21,Phone,North,8,1379.17,11033.36,September,Thursday
2023-02-22,Tablet,South,4,875.43,3501.72,February,Wednesday
2023-03-01,Phone,West,1,1782.68,1782.68,March,Wednesday
2023-04-18,Laptop,North,1,521.61,521.61,April,Tuesday
2023-01-05,Tablet,South,3,1457.82,4373.46,January,Thursday
2023-04-13,Monitor,West,9,1774.97,15974.73,April,Thursday
2023-07-15,Monitor,North,7,1489.5,10426.5,July,Saturday
2023-09-19,Keyboard,Online,2,1424.82,2849.64,September,Tuesday
2023-12-31,Phone,West,9,1530.01,13770.09,December,Sunday
2023-12-16,Tablet,North,2,983.6,1967.2,December,Saturday
2023-02-16,Keyboard,West,3,1760.92,5282.76,February,Thursday
